time,gender,sexuallity,age,income,race,bodyweight,virgin,prostitution_legal,pay_for_sex,friends,social_fear,stressed,what_help_from_others,employment,job_title,edu_level,improve_yourself_how
5/28/2016 16:46:11,Male,Straight,23,"$30,000 to $39,999",White non-Hispanic,Normal weight,No,No,No,10.0,No,No,wingman/wingwoman,Employed for wages,Account Manager,Bachelor’s degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
5/28/2016 21:42:27,Female,Straight,21,"$10,000 to $19,999",Black,Overweight,No,No,No,0.0,Yes,No,I don't want help,Employed for wages,customer service,"Some college, no degree",None
5/18/2016 0:57:21,Male,Straight,25,"$10,000 to $19,999",Black,Overweight,Yes,No,Yes but I haven't,2.0,Yes,Yes,date coaching,Out of work and looking for work,none,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy, join clubs/socual clubs/meet ups"
5/18/2016 20:27:47,Male,Straight,23,$0,Asian,Overweight,No,No,Yes but I haven't,4.0,No,Yes,"wingman/wingwoman, Set me up with a date, date coaching",A student,jpo;,"High school graduate, diploma or the equivalent (for example: GED)",None
5/17/2016 23:13:32,Male,Straight,28,"$1 to $10,000",White non-Hispanic,Underweight,Yes,No,Yes but I haven't,0.0,Yes,Yes,I don't want help,Out of work but not currently looking for work,bum,"High school graduate, diploma or the equivalent (for example: GED)",None
5/18/2016 0:23:17,Male,Straight,23,"$1 to $10,000",Hispanic (of any race),Normal weight,No,Yes,Yes and I have,20.0,Yes,No,"wingman/wingwoman, Set me up with a date, date coaching",A student,Economist,Bachelor’s degree,Other exercise
5/19/2016 20:03:19,Female,Bisexual,30,"$50,000 to $74,999",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,2.0,No,Yes,"I don't want help, More general stuff",Employed for wages,Not telling,Bachelor’s degree,"Cosmetic survey, Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups, Fashion makeup personality etc"
5/28/2016 17:04:03,Female,Straight,25,$0,White non-Hispanic,Normal weight,Yes,No,No,2.0,Yes,No,I don't want help,A student,student teacher,Bachelor’s degree,Other exercise
5/28/2016 20:36:53,Male,Straight,22,"$1 to $10,000",Black,Normal weight,Yes,No,No,15.0,No,No,Set me up with a date,A student,Guest Advisor,"Some college, no degree",None
5/28/2016 20:56:31,Male,Straight,23,$0,White non-Hispanic,Normal weight,Yes,No,No,2.0,Yes,No,I don't want help,A student,...,"Some college, no degree","Therapy, Other exercise"
